hall_ticket,semester,sgpa,result,total_subjects,performance_category,avg_grade_points,min_grade_points,max_grade_points,std_grade_points,fail_count
121423408001,SEMESTER-V,9.81,PASS,6,Distinction,9.833333333333334,9,10,0.4082482904638628,0
121423408002,SEMESTER-V,9.38,PASS,6,Distinction,9.333333333333334,9,10,0.5163977794943223,0
121423408003,SEMESTER-V,8.73,PASS,6,First Class,8.666666666666666,8,9,0.5163977794943224,0
121423408004,SEMESTER-V,7.88,PASS,6,Second Class,7.833333333333333,6,9,0.9831920802501751,0
121423408005,SEMESTER-V,9.04,PASS,6,Distinction,9.0,8,10,0.6324555320336759,0
121423408006,SEMESTER-V,8.88,PASS,6,First Class,9.0,8,10,0.6324555320336757,0
121423408008,SEMESTER-V,9.38,PASS,6,Distinction,9.333333333333334,9,10,0.5163977794943222,0
121423408009,SEMESTER-V,8.0,PASS,6,First Class,8.0,7,9,0.6324555320336759,0
121423408010,SEMESTER-V,8.58,PASS,6,First Class,8.5,8,9,0.547722557505166,0
121423408011,SEMESTER-V,8.19,PASS,6,First Class,8.166666666666666,8,9,0.408248290463863,0
121423408012,SEMESTER-V,9.65,PASS,6,Distinction,9.666666666666666,9,10,0.5163977794943222,0
121423408013,SEMESTER-V,9.23,PASS,6,Distinction,9.166666666666666,8,10,0.7527726527090807,0
121423408014,SEMESTER-V,8.38,PASS,6,First Class,8.333333333333334,8,9,0.5163977794943223,0
121423408015,SEMESTER-V,9.12,PASS,6,Distinction,9.0,8,10,0.6324555320336758,0
121423408016,SEMESTER-V,7.42,PASS,6,Second Class,7.5,6,8,0.8366600265340756,0
121423408017,SEMESTER-V,8.92,PASS,6,First Class,8.833333333333334,8,9,0.4082482904638632,0
121423408018,SEMESTER-V,8.27,PASS,6,First Class,8.333333333333334,8,9,0.5163977794943225,0
121423408019,SEMESTER-V,8.23,PASS,6,First Class,8.166666666666666,7,9,0.7527726527090807,0
121423408020,SEMESTER-V,7.42,PASS,6,Second Class,7.166666666666667,5,8,1.1690451944500118,0
121423408021,SEMESTER-V,8.42,PASS,6,First Class,8.5,8,9,0.5477225575051661,0
121423408023,SEMESTER-V,6.27,PASS,6,Pass Class,6.166666666666667,4,8,1.3291601358251257,0
121423408024,SEMESTER-V,7.46,PASS,6,Second Class,7.166666666666667,5,8,1.3291601358251255,0
121423408025,SEMESTER-V,8.54,PASS,6,First Class,8.5,8,9,0.5477225575051661,0
121423408026,SEMESTER-V,9.27,PASS,6,Distinction,9.333333333333334,9,10,0.5163977794943225,0
121423408027,SEMESTER-V,8.23,PASS,6,First Class,8.166666666666666,7,9,0.7527726527090809,0
121423408028,SEMESTER-V,,PROMOTED,6,Promoted,4.666666666666667,0,7,2.581988897471611,1
121423408029,SEMESTER-V,9.42,PASS,6,Distinction,9.5,9,10,0.5477225575051661,0
121423408030,SEMESTER-V,,PROMOTED,6,Promoted,5.0,0,8,3.8987177379235853,2
121423408031,SEMESTER-V,8.35,PASS,6,First Class,8.333333333333334,8,9,0.5163977794943223,0
121423408033,SEMESTER-V,7.73,PASS,6,Second Class,7.666666666666667,5,9,1.3662601021279464,0
121423408034,SEMESTER-V,9.0,PASS,6,Distinction,9.0,8,10,0.6324555320336759,0
121423408035,SEMESTER-V,8.62,PASS,6,First Class,8.666666666666666,8,9,0.5163977794943223,0
121423408036,SEMESTER-V,8.65,PASS,6,First Class,8.666666666666666,8,9,0.5163977794943223,0
121423408037,SEMESTER-V,7.12,PASS,6,Second Class,7.0,6,8,0.8944271909999159,0
121423408038,SEMESTER-V,7.19,PASS,6,Second Class,7.0,5,8,1.2649110640673518,0
121423408039,SEMESTER-V,9.19,PASS,6,Distinction,9.166666666666666,9,10,0.408248290463863,0
121423408040,SEMESTER-V,,PROMOTED,6,Promoted,6.5,0,8,3.2093613071762426,1
121423408041,SEMESTER-V,8.73,PASS,6,First Class,8.833333333333334,8,10,0.7527726527090812,0
121423408042,SEMESTER-V,7.15,PASS,6,Second Class,7.166666666666667,5,8,1.3291601358251257,0
121423408044,SEMESTER-V,7.15,PASS,6,Second Class,6.833333333333333,4,8,1.6020819787597222,0
121423408045,SEMESTER-V,6.58,PASS,6,Pass Class,6.666666666666667,5,8,1.505545305418162,0
121423408046,SEMESTER-V,,PROMOTED,6,Promoted,5.166666666666667,0,8,2.8577380332470415,1
121423408047,SEMESTER-V,8.35,PASS,6,First Class,8.333333333333334,8,9,0.5163977794943223,0
121423408048,SEMESTER-V,7.31,PASS,6,Second Class,7.333333333333333,6,8,1.0327955589886444,0
121423408050,SEMESTER-V,8.42,PASS,6,First Class,8.5,8,9,0.5477225575051661,0
121423408051,SEMESTER-V,8.65,PASS,6,First Class,8.666666666666666,8,9,0.5163977794943222,0
121423408052,SEMESTER-V,8.0,PASS,6,First Class,8.0,7,9,0.6324555320336759,0
121423408053,SEMESTER-V,7.92,PASS,6,Second Class,8.0,7,9,0.8944271909999159,0
121423408054,SEMESTER-V,7.81,PASS,6,Second Class,7.833333333333333,7,8,0.408248290463863,0
121423408055,SEMESTER-V,,PROMOTED,6,Promoted,6.166666666666667,0,8,3.0605010483034745,1
121423408056,SEMESTER-V,7.69,PASS,6,Second Class,7.833333333333333,7,9,0.7527726527090811,0
121423408057,SEMESTER-V,8.81,PASS,6,First Class,8.833333333333334,8,9,0.4082482904638628,0
121423408058,SEMESTER-V,9.0,PASS,6,Distinction,9.0,9,9,0.0,0
121423408059,SEMESTER-V,,PROMOTED,6,Promoted,2.6666666666666665,0,8,3.265986323710904,3
121423408060,SEMESTER-V,9.19,PASS,6,Distinction,9.166666666666666,9,10,0.408248290463863,0
