course_code,course_title,total_enrolled,passed,failed,pass_rate,avg_grade_points
IKS.SL.5.25T,INDIAN KNOWLEDGE SYSTEM (IKS),4,1,3,25.0,1.25
IF-5-BM-22T,INTERNATIONAL FINANCE,9,8,1,88.89,7.11
CS.5.CS.22T,CYBER SECURITY,14,13,1,92.86,7.64
HRD-5-BM-22T,HRD: SYSTEMS AND STRATEGIES,14,13,1,92.86,7.21
AWS-5-CS-25T,AWS FUNDAMENTALS AND CLOUD STORAGE (SEC),55,54,1,98.18,7.93
BATP-5-BM-22T,BUSINESS ANALYTICS WITH TABLEAU & POWER BI,55,54,1,98.18,8.27
DM-5-CS-22T,DIGITAL MARKETING,55,54,1,98.18,8.45
ASP-5-BM-22T,ADVERTISING AND SALES PROMOTION,10,10,0,100.0,8.1
DSM-5-BM-22T,DISTRIBUTION AND SUPPLY CHAIN MANAGEMENT,30,30,0,100.0,8.47
FA.5.MC.22T,FILM APPRECIATION,12,12,0,100.0,8.67
IM-5-BM-22T,INVESTMENT MANAGEMENT,34,34,0,100.0,7.76
MOS-5-BM-22T,MARKETING OF SERVICES,7,7,0,100.0,7.71
PC.5.PY.22T,PSYCHOLOGICAL COMPETENCIES,10,10,0,100.0,6.6
SM.5.PY.22T,STRESS MANAGEMENT AND WELL BEING,15,15,0,100.0,8.07
TD-5-BM-22T,TRAINING AND DEVELOPMENT,6,6,0,100.0,8.33
