course_title,O_count,A_plus_count,A_count,B_plus_count,B_count,C_count,D_count,F_count
ADVERTISING AND SALES PROMOTION,0,3,5,2,0,0,0,0
AWS FUNDAMENTALS AND CLOUD STORAGE (SEC),6,17,23,0,2,3,3,1
BUSINESS ANALYTICS WITH TABLEAU & POWER BI,5,22,23,1,2,0,1,1
CYBER SECURITY,1,5,5,1,0,1,0,1
DIGITAL MARKETING,8,20,23,3,0,0,0,1
DISTRIBUTION AND SUPPLY CHAIN MANAGEMENT,5,14,5,4,1,0,1,0
FILM APPRECIATION,1,7,3,1,0,0,0,0
HRD: SYSTEMS AND STRATEGIES,0,4,4,3,2,0,0,1
INDIAN KNOWLEDGE SYSTEM (IKS),0,0,0,0,0,1,0,3
INTERNATIONAL FINANCE,0,3,3,1,1,0,0,1
INVESTMENT MANAGEMENT,1,8,14,5,5,1,0,0
MARKETING OF SERVICES,0,2,3,1,0,1,0,0
PSYCHOLOGICAL COMPETENCIES,0,1,2,2,3,1,1,0
STRESS MANAGEMENT AND WELL BEING,0,6,6,2,0,1,0,0
TRAINING AND DEVELOPMENT,0,2,4,0,0,0,0,0
