course_title,Q1_25th_percentile,Q2_median,Q3_75th_percentile,max_grade_points
ADVERTISING AND SALES PROMOTION,7,8,8,9
AWS FUNDAMENTALS AND CLOUD STORAGE (SEC),0,8,8,10
BUSINESS ANALYTICS WITH TABLEAU & POWER BI,0,8,9,10
CYBER SECURITY,0,8,9,10
DIGITAL MARKETING,0,8,9,10
DISTRIBUTION AND SUPPLY CHAIN MANAGEMENT,4,8,9,10
FILM APPRECIATION,7,8,9,10
HRD: SYSTEMS AND STRATEGIES,0,7,8,9
INDIAN KNOWLEDGE SYSTEM (IKS),0,0,0,5
INTERNATIONAL FINANCE,0,8,8,9
INVESTMENT MANAGEMENT,5,7,8,10
MARKETING OF SERVICES,5,8,8,9
PSYCHOLOGICAL COMPETENCIES,4,6,7,9
STRESS MANAGEMENT AND WELL BEING,5,8,8,9
TRAINING AND DEVELOPMENT,8,8,9,9
